#Data tag : online , Norm tag: None
#run:fill,time,nls,ncms,delivered(/pb),recorded(/pb)
273150:4915,05/11/16 20:24:04,11,11,0.534,0.386
273158:4915,05/11/16 20:42:35,1279,1279,53.934,50.634
273290:4919,05/12/16 20:17:17,2,2,0.092,0.004
273291:4919,05/12/16 20:23:51,77,77,3.273,2.757
273292:4919,05/12/16 20:55:57,12,12,0.539,0.008
273294:4919,05/12/16 21:04:34,3,3,0.134,0.000
273295:4919,05/12/16 21:08:46,11,11,0.490,0.000
273299:4919,05/12/16 21:55:32,43,43,1.867,1.748
273301:4919,05/12/16 22:14:12,602,602,24.647,23.465
273302:4919,05/13/16 02:13:38,459,459,17.075,16.380
273402:4924,05/14/16 01:49:19,193,193,7.006,6.629
273403:4924,05/14/16 03:05:27,53,53,1.932,1.834
273404:4924,05/14/16 03:31:50,18,18,0.652,0.615
273405:4924,05/14/16 03:42:09,25,25,0.902,0.839
273406:4924,05/14/16 03:56:09,112,112,3.978,3.798
273407:4924,05/14/16 04:45:59,1,1,0.035,0.000
273408:4924,05/14/16 04:52:04,6,6,0.211,0.182
273409:4924,05/14/16 04:56:41,309,309,10.614,9.535
273410:4924,05/14/16 06:59:49,90,90,3.006,2.762
273411:4924,05/14/16 07:38:50,29,29,0.800,0.750
273425:4925,05/14/16 11:17:57,672,672,26.709,25.396
273426:4925,05/14/16 15:44:51,60,60,2.073,1.943
273446:4926,05/14/16 20:06:55,33,33,2.161,2.021
273447:4926,05/14/16 20:26:09,412,412,25.947,24.703
273448:4926,05/14/16 23:11:51,391,391,22.637,21.538
273449:4926,05/15/16 01:48:09,214,214,11.732,11.192
273450:4926,05/15/16 03:19:37,647,647,32.459,31.082
273492:4930,05/16/16 09:07:35,267,267,12.323,11.796
273493:4930,05/16/16 10:54:39,233,233,10.552,10.139
273494:4930,05/16/16 12:28:40,192,192,8.420,8.147
273502:4935,05/16/16 20:00:07,992,992,46.968,45.230
273503:4935,05/17/16 02:31:25,598,598,25.329,24.549
273523:4937,05/17/16 12:27:52,227,227,0.004,0.004
273526:4937,05/17/16 14:09:04,30,30,0.000,0.000
273537:4937,05/17/16 16:17:08,779,777,0.013,0.013
273554:4942,05/18/16 05:30:44,361,361,26.491,25.405
273555:4942,05/18/16 07:55:51,173,173,12.010,11.622
273589:4945,05/18/16 16:38:16,120,120,0.007,0.007
273590:4945,05/18/16 17:31:47,170,170,0.010,0.010
273592:4945,05/18/16 21:37:36,176,176,0.011,0.010
273725:4947,05/20/16 02:37:26,2461,2461,157.887,152.629
273728:4947,05/20/16 19:02:03,100,100,5.022,4.826
273730:4947,05/20/16 19:47:25,2803,2803,110.284,107.254
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/pb),totrecorded(/pb)
#11,43,15446,15444,670.769,641.844
#Check JSON:
#(run,ls) in json but not in results: [(273730, 2534), (273730, 2535), (273725, 1478), (273725, 1479)]
